31|1|0.9999999998
29|2|1.2599210497
32|3|1.4422495704
31|4|1.5874010520
32|5|1.7099759466
32|6|1.8171205928
34|7|1.9129311828
1|8|2.0000000000
34|9|2.0800838230
32|10|2.1544346900
33|11|2.2239800905
32|12|2.2894284851
36|13|2.3513346878
35|14|2.4101422641
35|15|2.4662120743
36|16|2.5198420997
33|17|2.5712815907
36|18|2.6207413942
36|19|2.6684016487
37|20|2.7144176166
37|21|2.7589241764
37|22|2.8020393306
36|23|2.8438669798
36|24|2.8844991406
36|25|2.9240177382
37|26|2.9624960684
38|27|3.0000000000
34|28|3.0365889719
37|29|3.0723168257
37|30|3.1072325060
36|31|3.1413806524
38|32|3.1748021040
35|33|3.2075343300
38|34|3.2396118013
37|35|3.2710663102
36|36|3.3019272489
38|37|3.3322218516
38|38|3.3619754068
38|39|3.3912114430
38|40|3.4199518934
39|41|3.4482172404
39|42|3.4760266449
38|43|3.5033980604
39|44|3.5303483353
39|45|3.5568933045
38|46|3.5830478710
39|47|3.6088260801
39|48|3.6342411857
39|49|3.6593057100
39|50|3.6840314986
39|51|3.7084297693
39|52|3.7325111568
38|53|3.7562857542
38|54|3.7797631497
38|55|3.8029524608
39|56|3.8258623655
40|57|3.8485011313
38|58|3.8708766406
38|59|3.8929964159
39|60|3.9148676412
39|61|3.9364971831
35|62|3.9578916097
38|63|3.9790572079
3|64|4.0000000000
40|65|4.0207257586
37|66|4.0412400206
39|67|4.0615481004
39|68|4.0816551019
39|69|4.1015659297
40|70|4.1212852998
39|71|4.1408177494
40|72|4.1601676461
40|73|4.1793391964
40|74|4.1983364538
39|75|4.2171633265
38|76|4.2358235842
34|77|4.2543208651
37|78|4.2726586817
38|79|4.2908404270
40|80|4.3088693801
39|81|4.3267487109
39|82|4.3444814858
41|83|4.3620706715
32|84|4.3795191399
41|85|4.3968296722
40|86|4.4140049624
40|87|4.4310476217
39|88|4.4479601811
32|89|4.4647450956
40|90|4.4814047466
37|91|4.4979414453
41|92|4.5143574355
40|93|4.5306548961
38|94|4.5468359438
38|95|4.5629026354
40|96|4.5788569702
40|97|4.5947008922
40|98|4.6104362920
40|99|4.6260650092
39|100|4.6415888336
