2|1|2|0.000001999999999999999909
11|10|155|0.000001999999999999999909
101|100|15050|0.000001999999999999999909
1001|1000|1500500|0.000005000000000000000409
10001|10000|150005000|0.000036999999999999998114
100001|100000|15000050000|0.000524000000000000051674
1000001|1000000|1500000500000|0.004841999999999999949873
10000001|10000000|150000005000000|0.051887000000000002564171
100000001|100000000|15000000050000000|0.384415999999999979941379
1000000001|1000000000|1500000000500000000|3.859021999999999952279950
